"Listado de casetas de la Feria"
TITULO|CALLE|NUMERO|MODULOS|CLASE|ENTIDAD|ID|ID_CALLE
DISTRITOS SUR-BELLAVISTA-LA PALMERA|IGNACIO SANCHEZ MEJIAS|61|3|DISTRITO||100|2
LA FLAMENCA|CURRO ROMERO|28|1|FAMILIAR||833|12
LOS RESERVA DEL 15|MANOLO VAZQUEZ|15|1|FAMILIAR||864|13
COSAS DE SEVILLA|PASCUAL MARQUEZ|108|1|FAMILIAR||454|9
TRIANA-82|PASCUAL MARQUEZ|110|1|ENTIDAD|ASOCIACION CULTURAL TRIANA-82|456|9
SIN BAUTIZAR|PASCUAL MARQUEZ|111|1|FAMILIAR||457|9
MESA PUYANA EUSTAQUIO|PASCUAL MARQUEZ|112|1|FAMILIAR||458|9
FUNDACION CAJASOL|PASCUAL MARQUEZ|113|3|ENTIDAD|FUNDACION CAJASOL|459|9
FRIGIMUEBLE S.A.|PASCUAL MARQUEZ|114|1|ENTIDAD|FRIGIMUEBLE S.A.|460|9
ASOCIACION G.E. RTVE-ANDALUCIA|PASCUAL MARQUEZ|116|2|ENTIDAD|R.T.V.E.(G.E.)|461|9
EL AGUA|PASCUAL MARQUEZ|119|4|ENTIDAD|EMASESA G.E.|462|9
LOS AMIGOS DE LA TORRE|PASCUAL MARQUEZ|120|1|FAMILIAR||463|9
LA NEURONA ALEGRE|PASCUAL MARQUEZ|122|1|FAMILIAR||464|9
NUESTRA SEÑORA DEL ROCIO|PASCUAL MARQUEZ|124|2|FAMILIAR||465|9
CENTRO ASTURIANO|PASCUAL MARQUEZ|127|2|ENTIDAD|CENTRO ASTURIANO|466|9
LA TAJA ESTABLE|PASCUAL MARQUEZ|131|1|FAMILIAR||467|9
RUBIO DE RUEDA JULIO R|PASCUAL MARQUEZ|133|1|FAMILIAR||468|9
LOS CAIRELES|PASCUAL MARQUEZ|135|1|FAMILIAR||469|9
LOS VEINTITANTOS|PASCUAL MARQUEZ|136|1|FAMILIAR||470|9
